block_num,Ei
1000,5144.946684
1001,4458.953792
1002,3772.960901
1003,1236.393356
1004,1021.368424
1005,296208.4142
1006,93312.8125
1007,5144.946684
1008,4458.953792
1009,92562.49428
1010,82704.89018
1011,1182.637123
1012,656.895165
1013,102418.9983
1014,226740.2967
1015,120631.3699
1016,111525.1841
1017,460.0780754
1018,967.6121914
1019,283316.2406
1020,283289.5197
1021,44966.8027
1022,371.097908
1023,19981.85798
1024,432.5218071
1025,84251.32231
1026,83456.3085
1027,4801.950238
1028,371.097908
1029,83456.3085
1030,18588.50123
1031,428.1898938
1032,66263.78245
1033,1182.637123
1034,377.4092706
1035,41754.88823
1036,41754.88823
1037,1839.056182
1038,111525.1841
1039,16085.71225
1040,296181.6933
1041,226740.2967
1042,92937.65339
1043,428.1898938
1044,83456.3085
1045,5996.692477
1046,301.2080298
1047,342.551915
1048,237654.5591
1049,111525.1841
1050,967.6121914
1051,208404.3524
1052,51390.63166
1053,18991.30541
1054,314.5084336
1055,84251.32231
1056,296208.4142
1057,82505.44528
1058,83456.3085
1059,3429.964456
1060,428.1898938
1061,83456.3085
1062,2188.806174
1063,73426.81576
1064,399.6439009
1065,266931.4866
1066,83831.46761
1067,929.3148213
1068,41754.88823
1069,41754.88823
1070,21478.36225
1071,92517.79869
1072,387.1084921
1073,84251.32231
1074,26807.73483
1075,285294.1518
1076,106067.5308
1077,94731.60948
1078,106067.5308
1079,111525.1841
1080,111525.1841
1081,18560.05956
1082,459.1226148
1083,202933.8608
1084,41754.88823
1085,314.5084336
1086,4995.464496
1087,929.3148213
1088,232210.7883
1089,3429.964456
1090,27663.7014
1091,3429.964456
1092,74350.12271
1093,18356.70394
1094,250520.0118
1095,512.3942841
1096,445.822211
1097,16085.71225
1098,255990.5034
1099,387.1084921
1100,21932.93873
1101,18157.25903
1102,23623.42827
1103,35197.24599
1104,22545.08318
1105,19981.85798
1106,3429.964456
1107,74350.12271
1108,136.8258808
1109,2273.539248
1110,35435.1424
1111,18356.70394
1112,8989.701011
1113,18356.70394
1114,27435.33346
1115,7493.196744
1116,35197.24599
1117,35197.24599
1118,6198.390768
1119,18212.37157
1120,37013.57577
1121,18506.78789
1122,2188.806174
1123,18506.78789
1200,28067.09215
1201,3776.57185
1202,221.5529195
1203,28067.09215
1204,8858.897766
1205,1181.186369
1206,5905.931844
1207,14033.54608
1208,2952.965922
1250,48115.01512
1251,192.965446
1300,11.77098324
1301,1.751122156
1302,11.77098324
1303,1886.769025
1304,1.751122156
1305,394.8212888
1306,957.4542034
1307,23.54196649
1308,1.751122156
1309,78.96425776
1310,0
1311,11.77098324
1312,3882.148611
1313,11.77098323
1314,1.751122156
1315,0
1316,3882.148611
1317,1.751122156
1318,2188.806174
1319,11.77098324
1320,957.4542034
1321,4272.02174
1322,78.96425776
1323,35.31294973
1324,4272.02174
1325,157.9285155
1326,1.751122156
1327,11.77098324
1328,11.77098323
1329,1.751122156
1330,969.2251866
1331,11.77098324
1332,2188.806174
1333,1.751122156
1334,957.4542034
1335,3882.148611
1336,1.751122156
1337,78.96425776
1338,957.4542034
1339,3882.148611
1340,1.751122156
1400,234215.4204
1401,4801.950238
1402,263492.3479
1403,65798.4917
1404,4458.953792
1405,12509.59647
1406,25923.68377
1407,4458.953792
1408,204938.4928
1409,234215.4204
1410,416.4159902
1411,3186.051095
1412,9516.587932
1413,12509.59647
1414,71605.61044
1415,110685.4747
1416,3429.964456
1417,10905.57973
1418,66855.01602
1419,31386.27981
1420,19442.76283
1421,74350.12271
1422,3429.964456
1423,234215.4204
1424,13015.96375
1425,70971.26969
1426,60751.68991
1427,47079.41972
1428,263465.6271
1429,204938.4928
1430,473.5079761
1431,457.2726624
1432,13015.96375
1433,66855.01602
1434,25089.97036
1435,37.71730691
1436,12402.084
1437,58508.69969
1438,4440.385245
1439,74350.12271
1440,498.1293345
1441,102391.442
1442,37.49931576
1443,25895.13778
1444,19442.76283
1445,29078.50627
1446,92517.79869
1447,74350.12271
1448,102043.8392
1449,39232.84977
1450,416.4159902
1451,375.5593181
1452,416.4159902
1453,3186.051095
1454,60031.79272
1455,92562.49428
1456,359.3240044
1457,19442.76283
1458,93329.95183
1459,20476.23387
1460,31386.27981
1461,19442.76283
1462,74350.12271
1463,70971.26969
1464,47079.41972
1465,37.49931576
1466,58556.29059
1467,3806.044496
1468,73930.26801
1469,457.2726624
1470,9449.49095
1471,43156.13474
1472,73510.41331
1473,9449.49095
1474,3186.051095
1475,31386.27981
1476,3100.521
1477,1593.025548
1478,399.643959
1479,399.643959
1501,944.8013188
1502,944.8013188
1503,906.6562946
1504,906.6562946
1506,944.8013188
1510,944.8013188
1556,944.8013188
1562,944.8013188
1606,944.8013188
1612,944.8013188
1700,594.8546073
1701,223.0704777
1702,371.7841295
1703,557.6761943
1704,669.2114332
1705,557.6761943
1706,669.2114332
1707,669.2114332
1708,371.7841295
1709,223.0704777
1750,743.5682591
1751,669.2114332
1752,446.1409555
1753,669.2114332
1800,698.8310271
1801,234242.1412
1802,234242.1412
1803,3186.051095
1804,1527.289986
1805,234242.1412
